,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
0,414,974163,1167564,127281,0,1340,399329,6,APEX NETWORKS LIMITED,0.838842337,1.091676155,0.643134665,0.299642394,0.838842337,1.92136105,2.552138776,2.84413388
1,1235000,1547373,5965668,-4320978,-32479,14965000,1342076,11,REDINGTON LIMITED,0.517918924,0.667589296,0.635221698,0.439753007,0.517918924,1.182050648,1.809763704,2.24155822
2,2098000,1591000,3881000,2210000,79000,11384000,1468000,13,HATHERTON HOLDINGS LIMITED,0.1925225,0.242355491,0.377265245,0.320172025,0.1925225,0.434411402,0.810037765,1.127616275
3,,4517865,10576611,3314862,25811,35783424,-3755527,14,MEIKA LTD,0.472812391,0.410530178,0.31640001,0.23222769,0.472812391,0.881401531,1.195012786,1.424465326
4,383149,619270,2879554,-2389022,-136265,4709452,4950,15,CONCEPTA CAPITAL LIMITED,0.738873807,1.219926923,1.292325672,1.284507528,0.738873807,1.94978701,3.216915083,4.460101095
5,942000,863000,2068000,1160000,45000,6711000,-128000,16,DICKINSONS (PLUMBING & HEATING CONTRACTORS) LIMITED,0.251523677,0.272940231,0.405981647,0.232723088,0.251523677,0.523777398,0.927632605,1.158196877
6,1005908,2456035,9406526,5669665,280825,7841036,-712226,18,AFTAB CURRENCY EXCHANGE LIMITED,0.356815818,0.366818198,0.524273196,0.26269372,0.356815818,0.722325151,1.24281139,1.502240323
7,2355000,-8133000,14954000,3783000,14476000,11064000,84000,22,CMME GROUP LIMITED,17.48886148,19.77944577,16.33647562,16.49845499,17.48886148,33.80910738,44.62236641,53.75882036
8,2455409,534000,3683023,2423140,725000,14540204,-446000,24,SWEEEP KUUSAKOSKI LIMITED,0.629490993,0.723253055,1.002181737,0.781885971,0.629490993,1.348191236,2.336861647,3.100476025
9,2012126,2699224,6882915,1639951,161000,6812500,981988,31,DUNSTAN THOMAS GROUP LIMITED,0.199041101,0.234325745,0.287537645,0.230962576,0.199041101,0.432900442,0.719193336,0.948494844
10,,582494,1984237,1401553,0,4474409,226545,32,TECHLAND SYSTEMS INTERNATIONAL LIMITED,0.404692843,0.42606596,0.373281528,0.259545022,0.404692843,0.829034544,1.199221439,1.455653941
